UTC,Latitude,Longitude,Altitude
2025/03/18 - 17:12:15,49.386344869999995,1.06824326,9.313225746154785e-10
2025/03/18 - 17:12:16,49.3863525460456,1.0682462350840911,-1.3969838619232178e-08
2025/03/18 - 17:12:17,49.38635686774567,1.0682480564031425,4.6566128730773926e-09
2025/03/18 - 17:12:18,49.38635654646054,1.068248925483993,8.381903171539307e-09
2025/03/18 - 17:12:19,49.38635428145278,1.0682478638786612,2.7939677238464355e-09
2025/03/18 - 17:12:20,49.38635304143296,1.068246763502072,1.862645149230957e-09
2025/03/18 - 17:12:21,49.38635356134172,1.0682463289718322,9.313225746154785e-10
2025/03/18 - 17:12:22,49.38635082937194,1.0682474849854746,-9.313225746154785e-10
2025/03/18 - 17:12:23,49.38634928871186,1.0682481448620325,9.313225746154785e-10
2025/03/18 - 17:12:24,49.38634841461037,1.0682494651553778,9.313225746154785e-10
2025/03/18 - 17:12:25,49.38634816809928,1.0682501604370367,9.313225746154785e-10
2025/03/18 - 17:12:26,49.38634798750266,1.068250575317009,9.313225746154785e-10
2025/03/18 - 17:12:27,49.386347715165634,1.068251591215786,0.0
2025/03/18 - 17:12:28,49.386347451233796,1.0682527630178953,9.313225746154785e-10
2025/03/18 - 17:12:29,49.386346014995375,1.068253152203797,0.0
2025/03/18 - 17:12:30,49.386345236574435,1.068254801212126,0.0
2025/03/18 - 17:12:31,49.38634523927889,1.0682566295642648,9.313225746154785e-10
2025/03/18 - 17:12:32,49.38634321211309,1.0682565954255525,0.0
2025/03/18 - 17:12:33,49.38634142026508,1.0682547136704563,0.0
2025/03/18 - 17:12:34,49.38633567540363,1.0682544117229356,-2.7939677238464355e-09
2025/03/18 - 17:12:35,49.38633441349245,1.0682551264102245,5.587935447692871e-09
2025/03/18 - 17:12:36,49.38633483004972,1.06825664285054,3.725290298461914e-09
2025/03/18 - 17:12:37,49.38633473857087,1.0682570713052448,2.7939677238464355e-09
2025/03/18 - 17:12:38,49.3863356906666,1.0682570926607162,9.313225746154785e-10
2025/03/18 - 17:12:39,49.386335912886246,1.0682573609916126,9.313225746154785e-10
2025/03/18 - 17:12:40,49.3863362799958,1.0682573959378927,0.0
