UTC,Latitude,Longitude,Altitude
2025/03/18 - 17:04:21,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:04:22,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:04:23,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:04:24,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:04:25,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:04:26,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:04:27,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:04:28,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:04:29,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:04:30,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:04:31,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:04:32,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:04:33,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:04:34,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:04:35,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:04:36,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:04:37,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:04:38,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:04:39,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:04:40,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:04:41,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:04:42,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:04:43,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:04:44,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:04:45,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:04:46,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:04:47,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:04:48,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:04:49,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:04:50,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:04:51,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:04:52,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:04:53,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:04:54,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:04:55,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:04:56,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:04:57,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:04:58,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:04:59,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:00,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:01,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:02,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:03,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:04,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:05,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:06,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:07,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:08,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:09,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:10,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:11,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:12,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:13,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:14,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:15,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:16,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:17,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:18,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:19,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:20,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:21,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:22,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:23,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:24,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:25,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:26,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:27,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:28,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:29,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:30,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:31,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:32,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:33,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:34,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:35,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:36,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:37,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:38,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:39,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:40,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:41,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:42,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:43,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:44,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:45,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:46,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:47,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:48,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:49,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:50,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:51,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:52,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:53,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:54,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:55,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:56,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:57,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:58,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:05:59,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:06:00,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:06:01,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:06:02,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:06:03,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:06:04,49.38447666999999,1.06819333,50.57006048263414
2025/03/18 - 17:06:05,49.38447666999999,1.06819333,50.57006048263414
