UTC,Latitude,Longitude,Altitude
2025/5/27 - 15:10:46,49.385236,1.067447,75.9
2025/5/27 - 15:10:47,49.38523766666667,1.0674505,76.0
2025/5/27 - 15:10:48,49.385240333333336,1.0674535,76.09
2025/5/27 - 15:10:49,49.38524316666667,1.0674563333333333,76.2
2025/5/27 - 15:10:50,49.385245499999996,1.0674593333333333,76.2
2025/5/27 - 15:10:51,49.38524983333333,1.0674621666666666,76.29
2025/5/27 - 15:10:52,49.38525333333333,1.0674683333333332,76.09
2025/5/27 - 15:10:53,49.38525383333333,1.0674788333333334,76.0
2025/5/27 - 15:10:54,49.38525333333333,1.0674968333333332,76.0
2025/5/27 - 15:10:55,49.38525216666667,1.0675146666666666,75.9
2025/5/27 - 15:10:56,49.38525166666667,1.0675363333333334,75.79
2025/5/27 - 15:10:57,49.38524916666667,1.0675593333333333,75.79
2025/5/27 - 15:10:58,49.385251,1.067584,75.7
2025/5/27 - 15:10:59,49.385252,1.0676063333333332,75.59
2025/5/27 - 15:11:0,49.3852515,1.0676281666666667,75.4
2025/5/27 - 15:11:1,49.385253999999996,1.0676491666666668,75.09
2025/5/27 - 15:11:2,49.385252666666666,1.0676713333333334,74.79
2025/5/27 - 15:11:3,49.38525116666666,1.0676916666666667,74.4
2025/5/27 - 15:11:4,49.385248,1.0677131666666666,74.09
2025/5/27 - 15:11:5,49.38524433333333,1.0677325,74.0
2025/5/27 - 15:11:6,49.38524066666667,1.0677526666666666,73.9
2025/5/27 - 15:11:7,49.385236,1.0677706666666666,73.59
2025/5/27 - 15:11:8,49.385231833333336,1.0677868333333334,73.5
2025/5/27 - 15:11:9,49.38522583333333,1.067802,73.29
2025/5/27 - 15:11:10,49.385219166666666,1.0678131666666666,73.0
2025/5/27 - 15:11:11,49.385219666666664,1.0678153333333333,72.9
2025/5/27 - 15:11:12,49.385219666666664,1.0678183333333333,72.79
2025/5/27 - 15:11:13,49.385219666666664,1.0678215,72.79
2025/5/27 - 15:11:14,49.38521983333333,1.0678239999999999,72.79
2025/5/27 - 15:11:15,49.38521983333333,1.0678255,72.79
2025/5/27 - 15:11:16,49.38522016666666,1.0678271666666665,72.9
2025/5/27 - 15:11:17,49.385216,1.0678408333333334,72.9
2025/5/27 - 15:11:18,49.38521216666667,1.0678573333333332,73.0
2025/5/27 - 15:11:19,49.38521033333333,1.0678735,72.79
2025/5/27 - 15:11:20,49.38520916666667,1.0678923333333332,72.7
2025/5/27 - 15:11:21,49.385208999999996,1.0679113333333332,72.9
2025/5/27 - 15:11:22,49.3852095,1.0679278333333333,72.59
2025/5/27 - 15:11:23,49.38520916666667,1.0679441666666667,72.29
2025/5/27 - 15:11:24,49.38520883333333,1.0679616666666667,72.29
2025/5/27 - 15:11:25,49.3852095,1.0679788333333333,72.2
2025/5/27 - 15:11:26,49.385212,1.0679958333333333,72.29
2025/5/27 - 15:11:27,49.385213666666665,1.0680145,72.5
2025/5/27 - 15:11:28,49.385216,1.0680325,72.7
2025/5/27 - 15:11:29,49.38521933333333,1.0680483333333333,72.9
2025/5/27 - 15:11:30,49.3852205,1.0680638333333332,72.79
2025/5/27 - 15:11:31,49.3852205,1.0680781666666666,72.7
2025/5/27 - 15:11:41,49.385234833333335,1.0681988333333332,71.9
2025/5/27 - 15:11:42,49.38523516666667,1.0681998333333333,71.9
2025/5/27 - 15:11:43,49.385234833333335,1.0682004999999999,71.9
2025/5/27 - 15:11:44,49.385234833333335,1.0682011666666666,71.9
2025/5/27 - 15:11:45,49.385237,1.0682128333333334,71.7
2025/5/25 - 15:11:46,49.3852395,1.0682228333333332,71.4
2025/5/27 - 15:11:47,49.3852425,1.0682351666666667,71.09
2025/5/27 - 15:11:48,49.385246,1.0682446666666667,71.09
2025/5/27 - 15:11:49,49.38524916666667,1.0682516666666666,71.09
2025/5/27 - 15:11:50,49.38525383333333,1.068257,71.2
2025/5/27 - 15:11:51,49.38525883333333,1.0682628333333333,71.29
2025/5/27 - 15:11:52,49.385264,1.0682706666666666,71.29
2025/5/27 - 15:11:53,49.385268333333336,1.068283,71.4
2025/5/27 - 15:11:54,49.385272,1.0682958333333332,71.4
2025/5/27 - 15:11:55,49.385275666666665,1.0683093333333333,71.5
2025/5/27 - 15:11:56,49.385279,1.0683243333333332,71.7
2025/5/27 - 15:11:57,49.385282833333335,1.0683393333333333,71.79
2025/5/27 - 15:11:58,49.38528816666667,1.0683518333333333,72.2
2025/5/27 - 15:11:59,49.38529533333333,1.0683624999999999,72.4
2025/5/27 - 15:12:0,49.38530266666667,1.0683705,72.29
2025/5/27 - 15:12:1,49.385309666666664,1.0683801666666666,72.29
2025/5/27 - 15:12:2,49.385314666666666,1.0683905,72.29
2025/5/27 - 15:12:3,49.3853205,1.0683993333333333,72.2
2025/5/27 - 15:12:4,49.38532766666667,1.0684071666666666,72.09
2025/5/27 - 15:12:5,49.385335166666664,1.0684151666666666,71.9
2025/5/27 - 15:12:6,49.38534216666667,1.0684236666666667,71.7
2025/5/27 - 15:12:7,49.3853475,1.0684336666666667,71.29
2025/5/27 - 15:12:8,49.38535433333333,1.0684426666666667,71.0
2025/5/27 - 15:12:9,49.385362666666666,1.0684513333333334,70.79
2025/5/27 - 15:12:10,49.38537016666667,1.0684608333333334,70.59
2025/5/27 - 15:12:11,49.385375833333335,1.0684695,70.0
2025/5/27 - 15:12:12,49.38538233333333,1.0684786666666666,69.59
2025/5/27 - 15:12:13,49.38539033333333,1.0684875,69.5
2025/5/27 - 15:12:14,49.385396166666666,1.0684966666666667,69.2
2025/5/27 - 15:12:15,49.3854015,1.0685054999999999,69.09
2025/5/27 - 15:12:16,49.385409333333335,1.0685138333333333,69.0
2025/5/27 - 15:12:17,49.38541716666666,1.0685218333333333,68.7
2025/5/27 - 15:12:18,49.385427,1.0685303333333334,68.9
2025/5/27 - 15:12:19,49.385435666666666,1.0685393333333333,68.9
2025/5/27 - 15:12:20,49.385442833333336,1.0685488333333333,68.79
2025/5/27 - 15:12:21,49.38545033333333,1.06856,68.79
2025/5/27 - 15:12:22,49.385459166666664,1.0685705,68.9
2025/5/27 - 15:12:23,49.385467,1.0685784999999999,68.79
2025/5/27 - 15:12:24,49.385473499999996,1.0685856666666667,68.5
2025/5/27 - 15:12:25,49.385478,1.0685943333333334,68.29
2025/5/27 - 15:12:26,49.3854825,1.068605,68.2
2025/5/27 - 15:12:27,49.38548566666667,1.068614,67.9
2025/5/27 - 15:12:28,49.38548866666667,1.0686216666666666,67.7
2025/5/27 - 15:12:29,49.385493,1.068625,67.5
2025/5/27 - 15:12:30,49.385499333333335,1.0686288333333334,67.29
2025/5/27 - 15:12:31,49.385504833333336,1.0686373333333332,67.29
2025/5/27 - 15:12:32,49.38551016666666,1.0686451666666668,67.29
2025/5/27 - 15:12:33,49.385514,1.0686503333333333,68.48
2025/5/27 - 15:12:34,49.385515166666664,1.0686423333333332,66.9
2025/5/27 - 15:12:35,49.385503666666665,1.0685968333333333,66.0
2025/5/27 - 15:12:36,49.38545033333333,1.06847,63.89
2025/5/27 - 15:12:37,49.3853855,1.0683026666666666,60.6
2025/5/27 - 15:12:38,49.385323666666665,1.0681493333333334,55.7
