UTC,Latitude,Longitude,Altitude
2025/03/18 - 17:12:15,49.38579787,1.06824326,0
2025/03/18 - 17:12:16,49.38580721,1.06824688,0
2025/03/18 - 17:12:17,49.38580995,1.06824812,0
2025/03/18 - 17:12:18,49.38580858,1.06824875,0
2025/03/18 - 17:12:19,49.38580639,1.06824736,0
2025/03/18 - 17:12:20,49.38580583,1.06824651,0
2025/03/18 - 17:12:21,49.38580684,1.06824635,0
2025/03/18 - 17:12:22,49.38580326,1.06824784,0
2025/03/18 - 17:12:23,49.38580227,1.06824821,0
2025/03/18 - 17:12:24,49.38580155,1.06824964,0
2025/03/18 - 17:12:25,49.38580137,1.06825011,0
2025/03/18 - 17:12:26,49.38580110,1.06825049,0
2025/03/18 - 17:12:27,49.38580075,1.06825168,0
2025/03/18 - 17:12:28,49.38580047,1.06825284,0
2025/03/18 - 17:12:29,49.38579877,1.06825302,0
2025/03/18 - 17:12:30,49.38579826,1.06825501,0
2025/03/18 - 17:12:31,49.38579842,1.06825677,0
2025/03/18 - 17:12:32,49.38579586,1.06825626,0
2025/03/18 - 17:12:33,49.38579430,1.06825415,0
2025/03/18 - 17:12:34,49.38578776,1.06825448,0
2025/03/18 - 17:12:35,49.38578794,1.06825538,0
2025/03/18 - 17:12:36,49.38578845,1.06825694,0
2025/03/18 - 17:12:37,49.38578793,1.06825698,0
2025/03/18 - 17:12:38,49.38578901,1.06825696,0
2025/03/18 - 17:12:39,49.38578891,1.06825735,0
2025/03/18 - 17:12:40,49.38578931,1.06825734,0
2025/03/18 - 17:12:41,49.38578990,1.06825704,0
2025/03/18 - 17:12:42,49.38578996,1.06825737,0
2025/03/18 - 17:12:43,49.38578844,1.06825424,0
2025/03/18 - 17:12:44,49.38578655,1.06825094,0
2025/03/18 - 17:12:45,49.38578644,1.06825042,0
2025/03/18 - 17:12:46,49.38578602,1.06825129,0
2025/03/18 - 17:12:47,49.38578794,1.06825247,0
2025/03/18 - 17:12:48,49.38578893,1.06825280,0
2025/03/18 - 17:12:49,49.38578984,1.06825193,0
2025/03/18 - 17:12:50,49.38579069,1.06825186,0
2025/03/18 - 17:12:51,49.38579076,1.06825184,0
2025/03/18 - 17:12:52,49.38579051,1.06825154,0
2025/03/18 - 17:12:53,49.38579071,1.06825143,0
2025/03/18 - 17:12:54,49.38579117,1.06825125,0
2025/03/18 - 17:12:55,49.38579123,1.06825203,0
2025/03/18 - 17:12:56,49.38579132,1.06825260,0
2025/03/18 - 17:12:57,49.38579180,1.06825300,0
2025/03/18 - 17:12:58,49.38579180,1.06825335,0
2025/03/18 - 17:12:59,49.38579193,1.06825323,0
2025/03/18 - 17:13:00,49.38579146,1.06825192,0
2025/03/18 - 17:13:01,49.38579093,1.06825035,0
2025/03/18 - 17:13:02,49.38579094,1.06824985,0
2025/03/18 - 17:13:03,49.38579183,1.06824908,0
2025/03/18 - 17:13:04,49.38579264,1.06824872,0
2025/03/18 - 17:13:05,49.38579314,1.06824895,0
2025/03/18 - 17:13:06,49.38579329,1.06824902,0
2025/03/18 - 17:13:07,49.38579395,1.06824939,0
2025/03/18 - 17:13:08,49.38579451,1.06824947,0
2025/03/18 - 17:13:09,49.38579502,1.06825002,0
2025/03/18 - 17:13:10,49.38579506,1.06825012,0
2025/03/18 - 17:13:11,49.38579338,1.06824990,0
2025/03/18 - 17:13:12,49.38579258,1.06824914,0
2025/03/18 - 17:13:13,49.38579270,1.06824688,0
2025/03/18 - 17:13:14,49.38579226,1.06824619,0
2025/03/18 - 17:13:15,49.38579217,1.06824611,0
2025/03/18 - 17:13:16,49.38579096,1.06824551,0
2025/03/18 - 17:13:17,49.38579061,1.06824533,0
2025/03/18 - 17:13:18,49.38579035,1.06824491,0
2025/03/18 - 17:13:19,49.38578985,1.06824475,0
2025/03/18 - 17:13:20,49.38578979,1.06824481,0
2025/03/18 - 17:13:21,49.38578946,1.06824534,0
2025/03/18 - 17:13:22,49.38578893,1.06824544,0
2025/03/18 - 17:13:23,49.38578844,1.06824556,0
2025/03/18 - 17:13:24,49.38578815,1.06824508,0
2025/03/18 - 17:13:25,49.38578729,1.06824474,0
2025/03/18 - 17:13:26,49.38578708,1.06824497,0
2025/03/18 - 17:13:27,49.38578533,1.06824423,0
2025/03/18 - 17:13:28,49.38578351,1.06824342,0
2025/03/18 - 17:13:29,49.38578310,1.06824284,0
2025/03/18 - 17:13:30,49.38578285,1.06824258,0
2025/03/18 - 17:13:31,49.38578228,1.06824153,0
2025/03/18 - 17:13:32,49.38578214,1.06824073,0
2025/03/18 - 17:13:33,49.38578257,1.06823991,0
2025/03/18 - 17:13:34,49.38578328,1.06823924,0
2025/03/18 - 17:13:35,49.38578377,1.06823939,0
2025/03/18 - 17:13:36,49.38578403,1.06824005,0
2025/03/18 - 17:13:37,49.38578367,1.06824042,0
2025/03/18 - 17:13:38,49.38578343,1.06824092,0
2025/03/18 - 17:13:39,49.38578328,1.06824125,0
2025/03/18 - 17:13:40,49.38578291,1.06824286,0
2025/03/18 - 17:13:41,49.38578192,1.06824335,0
2025/03/18 - 17:13:42,49.38578135,1.06824367,0
2025/03/18 - 17:13:43,49.38578119,1.06824358,0
2025/03/18 - 17:13:44,49.38578146,1.06824359,0
2025/03/18 - 17:13:45,49.38578183,1.06824344,0
2025/03/18 - 17:13:46,49.38578170,1.06824497,0
2025/03/18 - 17:13:47,49.38578159,1.06824578,0
2025/03/18 - 17:13:48,49.38578197,1.06824689,0
2025/03/18 - 17:13:49,49.38578230,1.06824811,0
2025/03/18 - 17:13:50,49.38578279,1.06824858,0
2025/03/18 - 17:13:51,49.38578295,1.06824901,0
2025/03/18 - 17:13:52,49.38578288,1.06824848,0
