UTC,Latitude,Longitude
2025/03/18 - 17:09:28,49.38531833,1.06833333
2025/03/18 - 17:09:29,49.38531833,1.06834000
2025/03/18 - 17:09:30,49.38532000,1.06834500
2025/03/18 - 17:09:31,49.38532000,1.06834833
2025/03/18 - 17:09:32,49.38532000,1.06834833
2025/03/18 - 17:09:33,49.38532000,1.06834833
2025/03/18 - 17:09:34,49.38532000,1.06834833
2025/03/18 - 17:09:35,49.38532000,1.06834833
2025/03/18 - 17:09:36,49.38532000,1.06834833
2025/03/18 - 17:09:37,49.38532000,1.06834833
2025/03/18 - 17:09:38,49.38532000,1.06834833
2025/03/18 - 17:09:39,49.38532000,1.06834833
2025/03/18 - 17:09:40,49.38532000,1.06834833
2025/03/18 - 17:09:41,49.38532000,1.06834833
2025/03/18 - 17:09:42,49.38532000,1.06834833
2025/03/18 - 17:09:43,49.38532000,1.06834833
2025/03/18 - 17:09:44,49.38532000,1.06834833
2025/03/18 - 17:09:45,49.38532000,1.06834833
2025/03/18 - 17:09:46,49.38532000,1.06834833
2025/03/18 - 17:09:47,49.38532000,1.06834833
2025/03/18 - 17:09:48,49.38532000,1.06834833
2025/03/18 - 17:09:49,49.38532000,1.06834833
2025/03/18 - 17:09:50,49.38532000,1.06834833
2025/03/18 - 17:09:51,49.38532000,1.06834833
2025/03/18 - 17:09:52,49.38532000,1.06834833
2025/03/18 - 17:09:53,49.38532000,1.06834833
2025/03/18 - 17:09:54,49.38532000,1.06834833
2025/03/18 - 17:09:55,49.38532000,1.06834833
2025/03/18 - 17:09:56,49.38532000,1.06834833
2025/03/18 - 17:09:57,49.38532000,1.06834833
2025/03/18 - 17:09:58,49.38532000,1.06834833
2025/03/18 - 17:09:59,49.38532000,1.06834833
2025/03/18 - 17:10:00,49.38532000,1.06834833
2025/03/18 - 17:10:01,49.38532000,1.06834833
2025/03/18 - 17:10:02,49.38532000,1.06834833
2025/03/18 - 17:10:03,49.38532000,1.06834833
2025/03/18 - 17:10:04,49.38532000,1.06834833
2025/03/18 - 17:10:05,49.38532000,1.06834833
2025/03/18 - 17:10:06,49.38532000,1.06834833
2025/03/18 - 17:10:07,49.38532000,1.06834833
2025/03/18 - 17:10:08,49.38532000,1.06834833
2025/03/18 - 17:10:09,49.38532000,1.06834833
2025/03/18 - 17:10:10,49.38532000,1.06834833
2025/03/18 - 17:10:11,49.38532000,1.06834833
2025/03/18 - 17:10:12,49.38532000,1.06834833
2025/03/18 - 17:10:13,49.38532000,1.06834833
2025/03/18 - 17:10:14,49.38532000,1.06834833
2025/03/18 - 17:10:15,49.38532000,1.06834833
2025/03/18 - 17:10:16,49.38532000,1.06834833
2025/03/18 - 17:10:17,49.38532000,1.06834833
2025/03/18 - 17:10:18,49.38532000,1.06834833
2025/03/18 - 17:10:19,49.38532000,1.06834833
2025/03/18 - 17:10:20,49.38532000,1.06834833
2025/03/18 - 17:10:21,49.38532000,1.06834833
2025/03/18 - 17:10:22,49.38532000,1.06834833
2025/03/18 - 17:10:23,49.38532000,1.06834833
2025/03/18 - 17:10:24,49.38532000,1.06834833
2025/03/18 - 17:10:25,49.38532000,1.06834833
2025/03/18 - 17:10:26,49.38532000,1.06834833
2025/03/18 - 17:10:27,49.38532000,1.06834833
2025/03/18 - 17:10:28,49.38532000,1.06834833
2025/03/18 - 17:10:29,49.38532000,1.06834833
2025/03/18 - 17:10:30,49.38532000,1.06834833
2025/03/18 - 17:10:31,49.38532000,1.06834833
2025/03/18 - 17:10:32,49.38532000,1.06834833
2025/03/18 - 17:10:33,49.38532000,1.06834833
2025/03/18 - 17:10:34,49.38532000,1.06834833
2025/03/18 - 17:10:35,49.38532000,1.06834833
2025/03/18 - 17:10:36,49.38532000,1.06834833
2025/03/18 - 17:10:37,49.38532000,1.06834833
2025/03/18 - 17:10:38,49.38532000,1.06834833
2025/03/18 - 17:10:39,49.38532000,1.06834833
2025/03/18 - 17:10:40,49.38532000,1.06834833
2025/03/18 - 17:10:41,49.38532000,1.06834833
2025/03/18 - 17:10:42,49.38532000,1.06834833
2025/03/18 - 17:10:43,49.38532000,1.06834833
2025/03/18 - 17:10:44,49.38532000,1.06834833
2025/03/18 - 17:10:45,49.38532000,1.06834833
2025/03/18 - 17:10:46,49.38532000,1.06834833
2025/03/18 - 17:10:47,49.38532000,1.06834833
2025/03/18 - 17:10:48,49.38532000,1.06834833
2025/03/18 - 17:10:49,49.38532000,1.06834833
2025/03/18 - 17:10:50,49.38532000,1.06834833
2025/03/18 - 17:10:51,49.38532000,1.06834833
2025/03/18 - 17:10:52,49.38532000,1.06834833
2025/03/18 - 17:10:53,49.38532000,1.06834833
2025/03/18 - 17:10:54,49.38532000,1.06834833
2025/03/18 - 17:10:55,49.38532000,1.06834833
2025/03/18 - 17:10:56,49.38532000,1.06834833
2025/03/18 - 17:10:57,49.38532000,1.06834833
2025/03/18 - 17:10:58,49.38532000,1.06834833
2025/03/18 - 17:10:59,49.38532000,1.06834833
2025/03/18 - 17:11:00,49.38532000,1.06834833
2025/03/18 - 17:11:01,49.38532000,1.06834833
2025/03/18 - 17:11:02,49.38532000,1.06834833
2025/03/18 - 17:11:03,49.38532000,1.06834833
2025/03/18 - 17:11:04,49.38532000,1.06834833
2025/03/18 - 17:11:05,49.38532000,1.06834833
2025/03/18 - 17:11:06,49.38532000,1.06834833
2025/03/18 - 17:11:07,49.38532000,1.06834833
