UTC,Latitude,Longitude,Altitude
2025/03/18 - 16:12:39,49.38458153,1.06849847,0
2025/03/18 - 16:12:40,49.38458172,1.06849897,0
2025/03/18 - 16:12:41,49.38458206,1.06849906,0
2025/03/18 - 16:12:42,49.38458486,1.06850689,0
2025/03/18 - 16:12:43,49.38458640,1.06850854,0
2025/03/18 - 16:12:44,49.38458447,1.06850725,0
2025/03/18 - 16:12:45,49.38458563,1.06850604,0
2025/03/18 - 16:12:46,49.38458332,1.06850940,0
2025/03/18 - 16:12:47,49.38458308,1.06850754,0
2025/03/18 - 16:12:48,49.38458232,1.06850773,0
2025/03/18 - 16:12:49,49.38458224,1.06850717,0
2025/03/18 - 16:12:50,49.38458232,1.06850697,0
2025/03/18 - 16:12:51,49.38458219,1.06850697,0
2025/03/18 - 16:12:52,49.38458291,1.06850727,0
2025/03/18 - 16:12:53,49.38458284,1.06850744,0
2025/03/18 - 16:12:54,49.38458309,1.06850675,0
2025/03/18 - 16:12:55,49.38458312,1.06850682,0
2025/03/18 - 16:12:56,49.38458305,1.06850628,0
2025/03/18 - 16:12:57,49.38458283,1.06850603,0
2025/03/18 - 16:12:58,49.38458243,1.06850606,0
2025/03/18 - 16:12:59,49.38458222,1.06850615,0
2025/03/18 - 16:13:00,49.38458220,1.06850611,0
2025/03/18 - 16:13:01,49.38458232,1.06850602,0
2025/03/18 - 16:13:02,49.38458976,1.06850913,0
2025/03/18 - 16:13:03,49.38460048,1.06851300,0
2025/03/18 - 16:13:04,49.38461261,1.06851703,0
2025/03/18 - 16:13:05,49.38462507,1.06852538,0
2025/03/18 - 16:13:06,49.38462900,1.06852989,0
2025/03/18 - 16:13:07,49.38463466,1.06853227,0
2025/03/18 - 16:13:08,49.38464645,1.06851835,0
2025/03/18 - 16:13:09,49.38466051,1.06850835,0
2025/03/18 - 16:13:10,49.38467046,1.06850041,0
2025/03/18 - 16:13:11,49.38468149,1.06849188,0
2025/03/18 - 16:13:12,49.38469311,1.06848519,0
2025/03/18 - 16:13:13,49.38470815,1.06849773,0
2025/03/18 - 16:13:14,49.38472177,1.06850146,0
2025/03/18 - 16:13:15,49.38473926,1.06849575,0
2025/03/18 - 16:13:16,49.38475419,1.06850096,0
2025/03/18 - 16:13:17,49.38476884,1.06850095,0
2025/03/18 - 16:13:18,49.38478280,1.06850217,0
2025/03/18 - 16:13:19,49.38479539,1.06850870,0
2025/03/18 - 16:13:20,49.38480486,1.06851458,0
2025/03/18 - 16:13:21,49.38481667,1.06851529,0
2025/03/18 - 16:13:22,49.38482681,1.06851351,0
2025/03/18 - 16:13:23,49.38483789,1.06851746,0
2025/03/18 - 16:13:24,49.38484687,1.06852343,0
2025/03/18 - 16:13:25,49.38485494,1.06853213,0
2025/03/18 - 16:13:26,49.38486601,1.06852899,0
2025/03/18 - 16:13:27,49.38487758,1.06852865,0
2025/03/18 - 16:13:28,49.38488896,1.06853217,0
2025/03/18 - 16:13:29,49.38490194,1.06853426,0
2025/03/18 - 16:13:30,49.38491420,1.06853782,0
2025/03/18 - 16:13:31,49.38493007,1.06853652,0
2025/03/18 - 16:13:32,49.38494310,1.06853776,0
2025/03/18 - 16:13:33,49.38495395,1.06853706,0
2025/03/18 - 16:13:34,49.38496362,1.06853490,0
2025/03/18 - 16:13:35,49.38497490,1.06853351,0
2025/03/18 - 16:13:36,49.38498553,1.06853444,0
2025/03/18 - 16:13:37,49.38499979,1.06853353,0
2025/03/18 - 16:13:38,49.38501214,1.06853955,0
2025/03/18 - 16:13:39,49.38502219,1.06853787,0
2025/03/18 - 16:13:40,49.38503345,1.06853525,0
2025/03/18 - 16:13:41,49.38504436,1.06853351,0
2025/03/18 - 16:13:42,49.38505505,1.06853415,0
2025/03/18 - 16:13:43,49.38506514,1.06853579,0
2025/03/18 - 16:13:44,49.38507331,1.06853436,0
2025/03/18 - 16:13:45,49.38508249,1.06852855,0
2025/03/18 - 16:13:46,49.38509401,1.06852686,0
2025/03/18 - 16:13:47,49.38510366,1.06852476,0
2025/03/18 - 16:13:48,49.38511302,1.06852083,0
2025/03/18 - 16:13:49,49.38512058,1.06851478,0
2025/03/18 - 16:13:50,49.38513246,1.06851087,0
2025/03/18 - 16:13:51,49.38514441,1.06850570,0
2025/03/18 - 16:13:52,49.38515625,1.06850555,0
2025/03/18 - 16:13:53,49.38516959,1.06850117,0
2025/03/18 - 16:13:54,49.38517915,1.06849442,0
2025/03/18 - 16:13:55,49.38519079,1.06848920,0
2025/03/18 - 16:13:56,49.38520073,1.06848555,0
2025/03/18 - 16:13:57,49.38521037,1.06848336,0
2025/03/18 - 16:13:58,49.38522286,1.06847743,0
2025/03/18 - 16:13:59,49.38523511,1.06847285,0
2025/03/18 - 16:14:00,49.38525085,1.06846929,0
2025/03/18 - 16:14:01,49.38526164,1.06846395,0
2025/03/18 - 16:14:02,49.38527295,1.06845871,0
2025/03/18 - 16:14:03,49.38528485,1.06845328,0
2025/03/18 - 16:14:04,49.38529538,1.06844830,0
2025/03/18 - 16:14:05,49.38529691,1.06844805,0
2025/03/18 - 16:14:06,49.38529943,1.06845124,0
2025/03/18 - 16:14:07,49.38529965,1.06845259,0
2025/03/18 - 16:14:08,49.38530017,1.06845204,0
2025/03/18 - 16:14:09,49.38530231,1.06845037,0
2025/03/18 - 16:14:10,49.38530800,1.06844834,0
2025/03/18 - 16:14:11,49.38531608,1.06844503,0
2025/03/18 - 16:14:12,49.38532606,1.06844334,0
2025/03/18 - 16:14:13,49.38533650,1.06844359,0
2025/03/18 - 16:14:14,49.38534706,1.06844493,0
2025/03/18 - 16:14:15,49.38535749,1.06845011,0
2025/03/18 - 16:14:16,49.38536690,1.06845733,0
2025/03/18 - 16:14:17,49.38537651,1.06846601,0
2025/03/18 - 16:14:18,49.38538469,1.06847446,0
2025/03/18 - 16:14:19,49.38539368,1.06848523,0
2025/03/18 - 16:14:20,49.38540216,1.06849668,0
2025/03/18 - 16:14:21,49.38541074,1.06850846,0
2025/03/18 - 16:14:22,49.38542005,1.06851921,0
2025/03/18 - 16:14:23,49.38542802,1.06852935,0
2025/03/18 - 16:14:24,49.38543581,1.06853845,0
2025/03/18 - 16:14:25,49.38544387,1.06854843,0
2025/03/18 - 16:14:26,49.38545117,1.06855994,0
2025/03/18 - 16:14:27,49.38545923,1.06857163,0
2025/03/18 - 16:14:28,49.38546753,1.06858363,0
2025/03/18 - 16:14:29,49.38547580,1.06859490,0
2025/03/18 - 16:14:30,49.38548370,1.06860550,0
2025/03/18 - 16:14:31,49.38549120,1.06861637,0
2025/03/18 - 16:14:32,49.38549811,1.06862660,0
