UTC,Latitude,Longitude,Altitude
2025/03/18 - 17:04:20,49.38446005,1.06809406,0
2025/03/18 - 17:04:21,49.38446011,1.06809385,0
2025/03/18 - 17:04:22,49.38446012,1.06809385,0
2025/03/18 - 17:04:23,49.38446006,1.06809390,0
2025/03/18 - 17:04:24,49.38446022,1.06809382,0
2025/03/18 - 17:04:25,49.38446027,1.06809392,0
2025/03/18 - 17:04:26,49.38446027,1.06809398,0
2025/03/18 - 17:04:27,49.38446027,1.06809387,0
2025/03/18 - 17:04:28,49.38446037,1.06809394,0
2025/03/18 - 17:04:29,49.38446042,1.06809391,0
2025/03/18 - 17:04:30,49.38446052,1.06809404,0
2025/03/18 - 17:04:31,49.38446044,1.06809403,0
2025/03/18 - 17:04:32,49.38446061,1.06809369,0
2025/03/18 - 17:04:33,49.38446042,1.06809381,0
2025/03/18 - 17:04:34,49.38446048,1.06809392,0
2025/03/18 - 17:04:35,49.38446048,1.06809373,0
2025/03/18 - 17:04:36,49.38446055,1.06809346,0
2025/03/18 - 17:04:37,49.38446052,1.06809347,0
2025/03/18 - 17:04:38,49.38446053,1.06809340,0
2025/03/18 - 17:04:39,49.38446052,1.06809346,0
2025/03/18 - 17:04:40,49.38446058,1.06809353,0
2025/03/18 - 17:04:41,49.38446055,1.06809350,0
2025/03/18 - 17:04:42,49.38446066,1.06809353,0
2025/03/18 - 17:04:43,49.38446052,1.06809361,0
2025/03/18 - 17:04:44,49.38446059,1.06809378,0
2025/03/18 - 17:04:45,49.38446064,1.06809391,0
2025/03/18 - 17:04:46,49.38446058,1.06809402,0
2025/03/18 - 17:04:47,49.38446054,1.06809410,0
2025/03/18 - 17:04:48,49.38446036,1.06809401,0
2025/03/18 - 17:04:49,49.38446036,1.06809397,0
2025/03/18 - 17:04:50,49.38446031,1.06809393,0
2025/03/18 - 17:04:51,49.38446026,1.06809399,0
2025/03/18 - 17:04:52,49.38446026,1.06809399,0
2025/03/18 - 17:04:53,49.38446011,1.06809394,0
2025/03/18 - 17:04:54,49.38446017,1.06809394,0
2025/03/18 - 17:04:55,49.38446018,1.06809392,0
2025/03/18 - 17:04:56,49.38446011,1.06809385,0
2025/03/18 - 17:04:57,49.38446008,1.06809390,0
2025/03/18 - 17:04:58,49.38445993,1.06809390,0
2025/03/18 - 17:04:59,49.38445992,1.06809375,0
2025/03/18 - 17:05:00,49.38445988,1.06809377,0
2025/03/18 - 17:05:01,49.38445976,1.06809371,0
2025/03/18 - 17:05:02,49.38445973,1.06809368,0
2025/03/18 - 17:05:03,49.38445967,1.06809358,0
2025/03/18 - 17:05:04,49.38445965,1.06809360,0
2025/03/18 - 17:05:05,49.38445966,1.06809357,0
2025/03/18 - 17:05:06,49.38445965,1.06809353,0
2025/03/18 - 17:05:07,49.38445960,1.06809356,0
2025/03/18 - 17:05:08,49.38445948,1.06809346,0
2025/03/18 - 17:05:09,49.38445945,1.06809353,0
2025/03/18 - 17:05:10,49.38445946,1.06809346,0
2025/03/18 - 17:05:11,49.38445931,1.06809360,0
2025/03/18 - 17:05:12,49.38445924,1.06809373,0
2025/03/18 - 17:05:13,49.38445910,1.06809345,0
2025/03/18 - 17:05:14,49.38445909,1.06809371,0
2025/03/18 - 17:05:15,49.38445907,1.06809369,0
2025/03/18 - 17:05:16,49.38445906,1.06809377,0
2025/03/18 - 17:05:17,49.38445911,1.06809387,0
2025/03/18 - 17:05:18,49.38445903,1.06809388,0
2025/03/18 - 17:05:19,49.38445896,1.06809403,0
2025/03/18 - 17:05:20,49.38445903,1.06809408,0
2025/03/18 - 17:05:21,49.38445884,1.06809408,0
2025/03/18 - 17:05:22,49.38445890,1.06809416,0
2025/03/18 - 17:05:23,49.38445901,1.06809425,0
2025/03/18 - 17:05:24,49.38445906,1.06809442,0
2025/03/18 - 17:05:25,49.38445903,1.06809450,0
2025/03/18 - 17:05:26,49.38445901,1.06809441,0
2025/03/18 - 17:05:27,49.38445904,1.06809452,0
2025/03/18 - 17:05:28,49.38445904,1.06809451,0
2025/03/18 - 17:05:29,49.38445907,1.06809439,0
2025/03/18 - 17:05:30,49.38445915,1.06809447,0
2025/03/18 - 17:05:31,49.38445895,1.06809442,0
2025/03/18 - 17:05:32,49.38445889,1.06809435,0
2025/03/18 - 17:05:33,49.38445892,1.06809436,0
2025/03/18 - 17:05:34,49.38445889,1.06809438,0
2025/03/18 - 17:05:35,49.38445893,1.06809437,0
2025/03/18 - 17:05:36,49.38445893,1.06809449,0
2025/03/18 - 17:05:37,49.38445898,1.06809448,0
2025/03/18 - 17:05:38,49.38445900,1.06809458,0
2025/03/18 - 17:05:39,49.38445899,1.06809454,0
2025/03/18 - 17:05:40,49.38445902,1.06809454,0
2025/03/18 - 17:05:41,49.38445902,1.06809449,0
2025/03/18 - 17:05:42,49.38445900,1.06809442,0
2025/03/18 - 17:05:43,49.38445901,1.06809443,0
2025/03/18 - 17:05:44,49.38445905,1.06809437,0
2025/03/18 - 17:05:45,49.38445908,1.06809441,0
2025/03/18 - 17:05:46,49.38445911,1.06809441,0
2025/03/18 - 17:05:47,49.38445910,1.06809443,0
