"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.668791666E-3,-9.333241425E0,-1.633852386E0,1.835632782E0,9.651342747E0
1.565479167E-2,-9.304351501E0,-1.576671295E0,1.831142120E0,9.613008411E0
2.564079166E-2,-9.286837921E0,-1.482068024E0,1.858086090E0,9.586155023E0
3.562779167E-2,-9.327104187E0,-1.395547943E0,1.854343872E0,9.611504449E0
4.561379166E-2,-9.319619751E0,-1.368903351E0,1.870659943E0,9.603571071E0
5.560079166E-2,-9.433532867E0,-1.322948914E0,1.772164764E0,9.689288113E0
6.558679166E-2,-9.547895050E0,-1.330882416E0,1.920805664E0,9.829702045E0
7.557379166E-2,-9.602082367E0,-1.324146423E0,2.021246796E0,9.901453840E0
8.555979167E-2,-9.617949371E0,-1.341061249E0,1.945354614E0,9.903928511E0
9.554679166E-2,-9.578730927E0,-1.357377319E0,1.791175232E0,9.838844854E0
1.055327917E-1,-9.386380920E0,-1.466949463E0,1.826651459E0,9.674334244E0
1.155197917E-1,-9.128317566E0,-1.480271759E0,1.934577026E0,9.447749697E0
1.255057917E-1,-9.067244568E0,-1.437161407E0,1.847907257E0,9.364567165E0
1.354927917E-1,-8.978928223E0,-1.395547943E0,1.846110992E0,9.272369270E0
1.454787917E-1,-8.925189972E0,-1.268162842E0,1.976789246E0,9.229027508E0
1.554657917E-1,-9.200617218E0,-9.508227539E-1,1.908830566E0,9.444525146E0
1.654517917E-1,-9.515412598E0,-8.164022827E-1,1.885329437E0,9.734683183E0
1.754387917E-1,-9.759704590E0,-7.295828247E-1,1.904639282E0,9.970545400E0
1.854247917E-1,-9.949809265E0,-7.536827087E-1,1.853296051E0,1.014896292E1
1.954107917E-1,-1.003408401E1,-8.635542297E-1,1.921554108E0,1.025285024E1
2.053977917E-1,-1.002884491E1,-1.011446686E0,1.888173523E0,1.025504529E1
2.153837917E-1,-9.778565369E0,-1.272354126E0,1.701960754E0,1.000679250E1
2.253707917E-1,-9.324110413E0,-1.198856964E0,1.917512512E0,9.594433138E0
2.353567917E-1,-9.133706360E0,-1.072519684E0,2.141895905E0,9.442595427E0
2.453437917E-1,-9.255253601E0,-9.918374634E-1,1.992805939E0,9.519177290E0
2.553297917E-1,-9.315727844E0,-9.806108093E-1,1.891915741E0,9.556344908E0
2.653167917E-1,-9.455537109E0,-1.005309448E0,1.907932434E0,9.698352194E0
2.753027917E-1,-9.598190460E0,-1.143172760E0,1.974244537E0,9.865583894E0
2.852897917E-1,-9.699230347E0,-1.309925995E0,2.024839325E0,9.994545999E0
2.952757917E-1,-9.700577545E0,-1.535207520E0,2.030976563E0,1.002910428E1
3.052627917E-1,-9.611063690E0,-1.705253906E0,1.782642975E0,9.922613170E0
3.152487917E-1,-9.291328583E0,-1.714534607E0,1.682800598E0,9.596886662E0
3.252347917E-1,-9.013356628E0,-1.378034363E0,1.716630249E0,9.278275477E0
3.352217917E-1,-8.797206116E0,-1.113833771E0,1.828447723E0,9.053987088E0
3.452077917E-1,-8.752748566E0,-9.719288635E-1,1.837279358E0,8.996157436E0
3.551947917E-1,-8.923094330E0,-8.202941895E-1,1.854942627E0,9.150699816E0
3.651807917E-1,-9.221573639E0,-1.062490540E0,1.810485077E0,9.457492413E0
3.751677917E-1,-9.218879242E0,-1.328188019E0,1.611548767E0,9.452455095E0
3.851537917E-1,-9.112899628E0,-1.232387238E0,1.554667053E0,9.326344813E0
3.951407917E-1,-9.367669830E0,-1.130748596E0,1.327888641E0,9.528647264E0
4.051267917E-1,-9.386380920E0,-1.146914978E0,9.306147766E-1,9.501873742E0
4.151137917E-1,-9.043593750E0,-6.860234070E-1,6.423143005E-1,9.092292543E0
4.250997917E-1,-8.966054993E0,-2.880010986E-1,1.163829803E0,9.045860190E0
4.350867917E-1,-9.068741455E0,-4.237687683E-1,1.396146698E0,9.185362113E0
4.450727917E-1,-9.054820404E0,-4.927752686E-1,1.468296661E0,9.186321086E0
4.550597917E-1,-9.191486206E0,-9.654922485E-2,9.301657104E-1,9.238936556E0
4.650457917E-1,-9.463620300E0,9.505233765E-2,3.475772095E-1,9.470478027E0
4.750317917E-1,-9.544901276E0,2.020797729E-2,4.282594299E-1,9.554525360E0
4.850187917E-1,-9.668095093E0,-5.673202515E-2,8.454418945E-1,9.705156013E0
