"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.164083329E-3,-4.083508301E-1,-2.392025757E-1,9.963730316E0,9.974963162E0
1.215108333E-2,-4.206253052E-1,-3.110531616E-1,1.012195129E1,1.013546140E1
2.213708333E-2,-3.646417236E-1,-5.689668274E-1,1.036594391E1,1.038794878E1
3.212408333E-2,-2.210902405E-1,-8.093669128E-1,1.033286270E1,1.036687066E1
4.211108333E-2,-4.565505981E-2,-7.225474548E-1,1.022418869E1,1.024978993E1
5.209708333E-2,-6.586303711E-3,-5.945635986E-1,1.016715729E1,1.018452928E1
6.208366666E-2,-3.562591553E-2,-5.971083069E-1,1.014530273E1,1.016292158E1
7.207066666E-2,-1.401086426E-1,-5.980064392E-1,1.008857071E1,1.010724993E1
8.205666667E-2,-1.848655701E-1,-6.297404480E-1,9.946067047E0,9.967697729E0
9.204366666E-2,-2.746788025E-1,-6.903643799E-1,1.006417145E1,1.009156075E1
1.020306667E-1,-1.553768921E-1,-8.235873413E-1,1.022059616E1,1.025490244E1
1.120166667E-1,2.574645996E-2,-1.103954315E0,9.826615448E0,9.888465461E0
1.220036667E-1,1.899549866E-1,-1.060095520E0,9.738748169E0,9.798117233E0
1.319906667E-1,3.591032410E-1,-7.324269104E-1,9.732012177E0,9.766138711E0
1.419766667E-1,3.365002441E-1,-6.487509155E-1,9.683662720E0,9.711201462E0
1.519636667E-1,2.517764282E-1,-8.044271851E-1,9.701924744E0,9.738472067E0
1.619506667E-1,2.050735474E-1,-9.918374634E-1,9.581874390E0,9.635253683E0
1.719366667E-1,2.508782959E-1,-1.169967041E0,9.537117462E0,9.611887030E0
1.819236667E-1,2.857557678E-1,-1.151555328E0,9.787397003E0,9.859050468E0
1.919106667E-1,3.287164307E-1,-1.005010071E0,9.880054321E0,9.936476897E0
2.018966667E-1,4.343966675E-1,-7.212002563E-1,9.810299377E0,9.846359944E0
2.118836667E-1,4.215234375E-1,-6.065386963E-1,9.577683105E0,9.606122260E0
2.218706667E-1,4.343966675E-1,-7.393125916E-1,9.395362244E0,9.434411230E0
2.318566667E-1,5.161267090E-1,-8.274792480E-1,9.378447418E0,9.429018224E0
2.418436667E-1,5.846841431E-1,-8.907975769E-1,9.275910645E0,9.336910311E0
