--------------------------------------------------------------
2025/3/18 - 16:0:59
Nombre de satellites utilisés: 11
Latitude : 49N23.05429'
Longitude : 1E4.1115'

--------------------------------------------------------------
2025/3/18 - 16:1:1
Nombre de satellites utilisés: 11
Latitude : 49N23.05433'
Longitude : 1E4.11126'

--------------------------------------------------------------
2025/3/18 - 16:1:3
Nombre de satellites utilisés: 11
Latitude : 49N23.05437'
Longitude : 1E4.11101'

Arrêt du programme
