UTC,Latitude,Longitude,Altitude
2025/5/13 - 16:1:38,49.38450266666666,1.0683456666666666,51.1
2025/5/13 - 16:1:39,49.38450916666667,1.0683241666666667,49.6
2025/5/13 - 16:1:40,49.38451166666667,1.0683093333333333,48.6
2025/5/13 - 16:1:41,49.384517,1.0682841666666667,46.6
2025/5/13 - 16:1:42,49.38452483333333,1.0682786666666666,45.39
2025/5/13 - 16:1:43,49.3845305,1.0682526666666667,41.89
2025/5/13 - 16:1:44,49.384532,1.0682498333333332,40.7
2025/5/13 - 16:1:45,49.384537,1.0682505,39.7
2025/5/13 - 16:1:46,49.3845465,1.068249,39.29
2025/5/13 - 16:1:47,49.38455316666666,1.0682496666666665,39.0
2025/5/13 - 16:1:48,49.38456333333333,1.0682493333333334,38.89
2025/5/13 - 16:1:49,49.384585,1.0682381666666667,38.7
2025/5/13 - 16:1:50,49.38460583333333,1.068231,38.29
2025/5/13 - 16:1:51,49.384625666666665,1.0682245,38.28
2025/5/13 - 16:1:52,49.38464,1.0682331666666667,36.89
2025/5/13 - 16:1:53,49.384648999999996,1.0682368333333334,36.5
2025/5/13 - 16:1:54,49.384658333333334,1.0682369999999999,36.1
2025/5/13 - 16:1:55,49.384666,1.0682426666666667,35.7
2025/5/13 - 16:1:56,49.384673666666664,1.0682511666666668,35.2
2025/5/13 - 16:1:57,49.38469033333333,1.0682691666666666,34.79
2025/5/13 - 16:1:58,49.38472,1.0682923333333334,34.89
2025/5/13 - 16:1:59,49.384735,1.0682973333333332,34.39
2025/5/13 - 16:2:0,49.3847525,1.0683113333333334,34.0
2025/5/13 - 16:2:1,49.384769166666665,1.0683398333333334,33.89
2025/5/13 - 16:2:2,49.38477916666667,1.068357,33.7
2025/5/13 - 16:2:39,49.384859,1.067996,34.0
2025/5/13 - 16:2:40,49.38485933333333,1.0679988333333332,35.0
2025/5/13 - 16:2:41,49.384858,1.0679921666666667,35.2
2025/5/13 - 16:2:42,49.38485683333333,1.0679943333333333,36.0
2025/5/13 - 16:2:43,49.384857333333336,1.0679756666666667,34.29
2025/5/13 - 16:2:44,49.38486266666666,1.0679825,35.1
2025/5/13 - 16:2:45,49.38485433333333,1.0679556666666667,34.2
2025/5/13 - 16:2:46,49.3848495,1.0679481666666666,35.2
2025/5/13 - 16:2:47,49.384864666666665,1.0679533333333333,35.7
2025/5/13 - 16:2:48,49.38487216666667,1.0679703333333332,35.7
2025/5/13 - 16:2:49,49.38488566666667,1.0679861666666666,36.39
2025/5/13 - 16:2:50,49.38490483333333,1.0680063333333334,38.0
2025/5/13 - 16:2:51,49.384925333333335,1.0680181666666666,39.0
2025/5/13 - 16:2:52,49.384944499999996,1.0680226666666666,39.89
2025/5/13 - 16:2:53,49.38496133333333,1.0680265,40.6
2025/5/13 - 16:2:54,49.38497683333333,1.0680288333333334,41.39
2025/5/13 - 16:2:55,49.384992833333335,1.0680301666666667,41.89
2025/5/13 - 16:2:56,49.38500916666666,1.068033,43.1
2025/5/13 - 16:2:57,49.38502666666667,1.0680326666666666,43.5
2025/5/13 - 16:2:58,49.38503983333333,1.0680535,43.89
2025/5/13 - 16:2:59,49.38505,1.0680558333333334,43.39
2025/5/13 - 16:3:0,49.3850705,1.0680808333333334,46.6
2025/5/13 - 16:3:1,49.385085333333336,1.0680965,48.1
2025/5/13 - 16:3:2,49.385100333333334,1.0681101666666666,49.5
2025/5/13 - 16:3:3,49.3851125,1.068117,50.79
2025/5/13 - 16:3:4,49.38512083333333,1.0681086666666666,50.1
2025/5/13 - 16:3:5,49.385136333333335,1.0681265,51.39
2025/5/13 - 16:3:6,49.38515066666667,1.0681355,52.29
2025/5/13 - 16:3:7,49.3851675,1.0681368333333334,53.6
2025/5/13 - 16:3:8,49.385183166666664,1.0681396666666667,55.0
2025/5/13 - 16:3:9,49.385192833333335,1.0681384999999999,56.29
2025/5/13 - 16:3:10,49.38520616666666,1.0681376666666667,57.29
2025/5/13 - 16:3:11,49.38521866666667,1.0681501666666666,58.5
2025/5/13 - 16:3:12,49.385228166666664,1.0681638333333334,59.5
2025/5/13 - 16:3:13,49.3852305,1.0681613333333333,58.7
2025/5/13 - 16:3:14,49.3852395,1.0681801666666666,59.39
2025/5/13 - 16:3:15,49.38525083333333,1.0682013333333333,60.29
2025/5/13 - 16:3:16,49.38527033333333,1.0682225,60.7
2025/5/13 - 16:3:17,49.385287,1.0682493333333334,61.5
2025/5/13 - 16:3:18,49.385298999999996,1.0682653333333334,61.1
2025/5/13 - 16:3:19,49.38531283333333,1.0683025,62.29
2025/5/13 - 16:3:20,49.38532583333333,1.0683381666666667,63.39
2025/5/13 - 16:3:22,49.3853555,1.0684091666666666,66.4
2025/5/13 - 16:3:23,49.38538616666666,1.068533,75.5
2025/5/13 - 16:3:24,49.3853985,1.0685631666666666,78.79
2025/5/13 - 16:3:26,49.385428166666664,1.0686136666666666,80.59
2025/5/13 - 16:3:27,49.38544733333333,1.0686361666666666,82.0
2025/5/13 - 16:3:28,49.38544783333333,1.0686265,81.4
2025/5/13 - 16:3:29,49.385447166666665,1.068618,80.79
2025/5/13 - 16:3:158,49.385447,1.068613,80.4
2025/5/13 - 16:3:31,49.3854485,1.0686216666666666,257.55
2025/5/13 - 16:3:32,49.385453,1.0686271666666667,80.2
2025/5/13 - 16:3:33,49.38545383333333,1.0686121666666666,79.4
2025/5/13 - 16:3:34,49.385461666666664,1.0686121666666666,79.4
2025/5/13 - 16:3:35,49.3854635,1.0686201666666666,80.0
2025/5/13 - 16:3:36,49.385464666666664,1.0686221666666667,80.2
2025/5/13 - 16:3:37,49.38546516666667,1.068624,80.4
2025/5/13 - 16:3:38,49.385461666666664,1.068598,78.9
2025/5/13 - 16:3:39,49.38545,1.0685651666666667,77.2
2025/5/13 - 16:3:40,49.385450999999996,1.0685383333333334,75.7
2025/5/13 - 16:3:41,49.385449666666666,1.0684936666666667,74.0
2025/5/13 - 16:3:42,49.385456833333336,1.0684516666666666,73.9
2025/5/13 - 16:3:43,49.385471333333335,1.068425,72.7
2025/5/13 - 16:3:44,49.385489,1.0684061666666667,71.5
2025/5/13 - 16:3:45,49.385504833333336,1.0683853333333333,70.4
2025/5/13 - 16:3:46,49.38550716666666,1.0683936666666667,71.5
2025/5/13 - 16:3:47,49.3855095,1.0684068333333334,72.7
2025/5/13 - 16:3:48,49.385519333333335,1.0684251666666666,73.4
2025/5/13 - 16:3:49,49.385518166666664,1.0684023333333332,71.4
2025/5/13 - 16:3:50,49.385526999999996,1.0683696666666667,68.59
2025/5/13 - 16:3:51,49.385537166666666,1.0683385,66.59
2025/5/13 - 16:3:52,49.3855505,1.0683181666666666,65.7
2025/5/13 - 16:3:53,49.38556533333333,1.068315,65.2
2025/5/13 - 16:3:54,49.38557266666667,1.0682833333333333,64.2
